id	name	type	type_id
105	Robert Mueller	PERSON	0
108	New York	GPE	1
109	John Williams	PERSON	0
111	economy	CONCEPT	8
113	Pete Buttigieg	PERSON	0
114	Islamic State	ORG	5
115	William Barr	PERSON	0
116	Paul Manafort	PERSON	0
117	Mario Draghi	PERSON	0
118	Sen. Mitch McConnell	PERSON	0
120	Federal Bureau of Investigation	ORG/GOV	6
121	Volodymyr Zelensky	PERSON	0
122	Stock Value	FIN_INSTRUMENT	4
124	Food and Drug Administration	ORG/GOV	6
125	Jair Bolsonaro	PERSON	0
126	Recip Tayyip Erdogan	PERSON	0
127	U.S. Treasury Department	ORG/GOV	6
129	The Wall Street Journal	ORG	5
130	Bank of England	ORG/GOV	6
131	Bank of Japan	ORG/GOV	6
132	stocks	FIN_INSTRUMENT	4
133	Oil	PRODUCT	10
134	Michael Bloomberg	PERSON	0
135	Nicolás Maduro	PERSON	0
137	Russian Forces	ORG	5
138	Warren Buffett	PERSON	0
140	Banks	ORG	5
141	Richard H. Clarida	PERSON	0
142	James Bullard	PERSON	0
143	Republican Party	ORG	5
145	U.S. Treasurys	ORG/GOV	6
147	Shinzo Abe	PERSON	0
148	Argentina	GPE	1
149	Rudy Giuliani	PERSON	0
150	IRS	ORG/GOV	6
152	Eurozone	GPE	1
153	Economists	PERSON	0
154	Chuck Schumer	PERSON	0
155	Moscow	GPE	1
157	Euro	FIN_INSTRUMENT	4
158	Taiwan	GPE	1
159	United Arab Emirates	GPE	1
160	Department of State	ORG/GOV	6
161	Treasury Department	ORG/GOV	6
163	Pakistan	GPE	1
165	Justin Trudeau	PERSON	0
166	Eric Rosengren	PERSON	0
167	Robert Kaplan	PERSON	0
168	Investment Banking	SECTOR	11
169	Raphael Bostic	PERSON	0
170	Angela Merkel	PERSON	0
171	Covid-19 Pandemic Response	EVENT	3
173	Texas	GPE	1
175	Federal government	ORG/GOV	6
176	Consumer	PERSON	0
177	Unemployment rate	ECON_INDICATOR	9
178	Mike Pence	PERSON	0
179	President Barack Obama	PERSON	0
180	Brexit	EVENT	3
181	Mick Mulvaney	PERSON	0
182	Roger Stone	PERSON	0
183	House	ORG/GOV	6
184	Derek Chauvin	PERSON	0
185	John Bolton	PERSON	0
186	Shanghai	GPE	1
187	New Zealand	GPE	1
188	Protests	EVENT	3
189	Share prices	FIN_INSTRUMENT	4
190	United Nations	ORG/GOV	6
192	Bill de Blasio	PERSON	0
193	Department of Commerce	ORG/GOV	6
194	GOP	ORG	5
195	George Floyd	PERSON	0
197	Florida	GPE	1
198	Companies	ORG	5
199	Charles Evans	PERSON	0
200	Delta Variant	EVENT	3
201	Juan Guaidó	PERSON	0
204	Beto O’Rourke	PERSON	0
205	People’s Bank of China	ORG/GOV	6
206	Sam Bankman-Fried	PERSON	0
207	Employers	ORG	5
208	Indonesia	GPE	1
209	Protesters	PERSON	0
211	Department of Homeland Security	ORG/GOV	6
212	Conservative party	ORG	5
214	Value	CONCEPT	8
215	Loretta Mester	PERSON	0
216	Robert Lighthizer	PERSON	0
217	Stephen Poloz	PERSON	0
219	Lael Brainard	PERSON	0
220	Spain	GPE	1
222	U.S. Government Bonds	FIN_INSTRUMENT	4
223	Gary Gensler	PERSON	0
224	Jared Kushner	PERSON	0
225	Alexei Navalny	PERSON	0
226	The Bank of Mexico	ORG/GOV	6
227	Myanmar	GPE	1
229	Jack Ma	PERSON	0
230	Pentagon	ORG/GOV	6
231	Trump campaign	ORG	5
232	Steve Bannon	PERSON	0
233	Hamas	ORG	5
234	Monetary Policy	CONCEPT	8
235	copper	PRODUCT	10
236	Randal Quarles	PERSON	0
238	Switzerland	GPE	1
239	Jeff Bezos	PERSON	0
240	Letitia James	PERSON	0
241	Chinese government	ORG/GOV	6
242	Egypt	GPE	1
243	U.K. government	ORG/GOV	6
245	Ukrainian forces	ORG	5
246	Greece	GPE	1
249	Businesses	ORG	5
250	Christine Lagarde	PERSON	0
251	Centers for Disease Control and Prevention	ORG/GOV	6
252	Central banks	ORG/GOV	6
254	Afghanistan	GPE	1
255	Georgia	GPE	1
256	Central Bank	ORG/GOV	6
257	Moon Jae-in	PERSON	0
258	House of Representatives	ORG/GOV	6
260	Jeffrey Epstein	PERSON	0
261	Paul Ryan	PERSON	0
263	Alexander Lukashenko	PERSON	0
265	vaccine	PRODUCT	10
266	Anthony Fauci	PERSON	0
267	CDC	ORG/GOV	6
268	The World Health Organization	ORG/GOV	6
269	Hedge-Fund	ORG	5
270	Trump Organization	ORG	5
271	Haruhiko Kuroda	PERSON	0
272	Private-Equity Firms	ORG	5
273	Belarus	GPE	1
275	Singapore	GPE	1
276	Julian Assange	PERSON	0
277	Coronavirus Epidemic	EVENT	3
278	Elizabeth Holmes	PERSON	0
279	European Commission	ORG/GOV	6
280	Crown Prince Mohammed Bin Salman	PERSON	0
281	Poland	GPE	1
282	Jim Mattis	PERSON	0
283	Federal Open Market Committee	ORG/REG	7
284	Viktor Orban	PERSON	0
285	Policy	CONCEPT	8
286	U.S. Military	ORG/GOV	6
287	New York State	GPE	1
288	Amy Klobuchar	PERSON	0
289	House Democrats	ORG	5
290	New Jersey	GPE	1
291	Global Economy	CONCEPT	8
293	Patrick Harker	PERSON	0
296	Joe Manchin	PERSON	0
297	Police	ORG	5
299	Neel Kashkari	PERSON	0
301	Profit	ECON_INDICATOR	9
304	Greg Abbott	PERSON	0
305	Alex Azar	PERSON	0
306	Governments	ORG/GOV	6
307	New York Fed	ORG/GOV	6
308	Hillary Clinton	PERSON	0
312	Qatar	GPE	1
313	James Comey	PERSON	0
315	Mark Meadows	PERSON	0
316	Consumer Spending	ECON_INDICATOR	9
317	Oil Futures	FIN_INSTRUMENT	4
319	The Kremlin	ORG/GOV	6
320	Presidency	CONCEPT	8
321	Antony Blinken	PERSON	0
322	Gold Price	FIN_INSTRUMENT	4
324	Treasury Yield	FIN_INSTRUMENT	4
325	President-elect Joe Biden	PERSON	0
326	Bashar al-Assad	PERSON	0
327	Brent Crude	PRODUCT	10
328	Unemployment Benefit	CONCEPT	8
329	Jack Dorsey	PERSON	0
330	Johns Hopkins University	ORG	5
331	Kevin McCarthy	PERSON	0
332	Gaza Strip	GPE	1
333	Unemployment	ECON_INDICATOR	9
335	Carrie Lam	PERSON	0
336	President	PERSON	0
337	Arizona	GPE	1
338	Gov. Andrew Cuomo	PERSON	0
339	Asset management	SECTOR	11
340	Matteo Salvini	PERSON	0
342	Philippines	GPE	1
343	Jay Clayton	PERSON	0
344	Tim Cook	PERSON	0
345	President Xi Jinping	PERSON	0
346	Michael Avenatti	PERSON	0
347	Abdel Fattah Al Sisi	PERSON	0
348	Decision	CONCEPT	8
350	Hezbollah	ORG	5
352	Rod Rosenstein	PERSON	0
353	Vice President Mike Pence	PERSON	0
354	Wall Street	GPE	1
355	Sundar Pichai	PERSON	0
356	Lawrence Kudlow	PERSON	0
357	Malaysia	GPE	1
359	Scott Morrison	PERSON	0
360	Louisiana	GPE	1
362	Iraq	GPE	1
363	Sweden	GPE	1
365	Jeff Sessions	PERSON	0
366	University of Oxford	ORG	5
368	Jamal Khashoggi	PERSON	0
370	Tariffs	CONCEPT	8
371	Trade Tensions	CONCEPT	8
372	Sri Lanka	GPE	1
373	William Dudley	PERSON	0
374	Imran Khan	PERSON	0
376	Nuclear program	CONCEPT	8
378	Ashraf Ghani	PERSON	0
379	Gavin Newsom	PERSON	0
380	position	CONCEPT	8
381	Rodrigo Duterte	PERSON	0
382	Interest rate policy	CONCEPT	8
384	James Gorman	PERSON	0
385	Abortion Laws	CONCEPT	8
386	US Customs and Border Protection	ORG/GOV	6
387	Advertising	SECTOR	11
388	Finance Sector	SECTOR	11
389	Abortion Rights	CONCEPT	8
390	Wuhan	GPE	1
391	South Africa	GPE	1
392	Vietnam	GPE	1
393	David Solomon	PERSON	0
394	Esther George	PERSON	0
395	10-year Treasury Note	FIN_INSTRUMENT	4
396	Minneapolis	GPE	1
397	Tehran	GPE	1
398	Institute for Supply Management	ORG	5
400	Consumer Prices	ECON_INDICATOR	9
401	Ron DeSantis	PERSON	0
402	Los Angeles	GPE	1
404	Stock	FIN_INSTRUMENT	4
406	British Pound	FIN_INSTRUMENT	4
407	Erdogan	PERSON	0
409	Ride-Hailing	SECTOR	11
410	Rates	ECON_INDICATOR	9
412	Omicron Variant	EVENT	3
413	Treasury	ORG/GOV	6
414	2016 election	EVENT	3
415	Amy Coney Barrett	PERSON	0
416	RBA	ORG/REG	7
417	Masayoshi Son	PERSON	0
419	Liz Truss	PERSON	0
420	Wilbur Ross	PERSON	0
422	Donald Trump Jr.	PERSON	0
424	Consumer-Price Index	ECON_INDICATOR	9
425	Michigan	GPE	1
429	Hassan Rouhani	PERSON	0
430	Wealth Management	SECTOR	11
432	Lebanon	GPE	1
433	Libya	GPE	1
434	Cory Booker	PERSON	0
435	James Dimon	PERSON	0
436	The International Monetary Fund	ORG/REG	7
437	Adam Schiff	PERSON	0
438	Mark Carney	PERSON	0
439	Foreign Policy	CONCEPT	8
440	concerns	CONCEPT	8
441	Healthcare sector	SECTOR	11
442	Pyongyang	GPE	1
443	Online Retailing	SECTOR	11
444	Russia Probe	EVENT	3
445	Nuclear Weapons	PRODUCT	10
447	Mark Esper	PERSON	0
449	Freddie Mac	ORG	5
453	Peter Navarro	PERSON	0
454	Short-term Interest Rate	ECON_INDICATOR	9
455	User data	CONCEPT	8
456	Russia investigation	EVENT	3
457	Smartphone market	SECTOR	11
458	President George H.W. Bush	PERSON	0
459	support	CONCEPT	8
461	Olaf Scholz	PERSON	0
462	Security	CONCEPT	8
463	House Judiciary Committee	ORG/GOV	6
464	Netanyahu	PERSON	0
466	Lindsey Graham	PERSON	0
467	Central Bank of the Republic of Turkey	ORG/GOV	6
469	Michael Flynn	PERSON	0
470	Mauricio Macri	PERSON	0
471	Turkish lira	FIN_INSTRUMENT	4
472	Stock market	FIN_INSTRUMENT	4
474	Syria	GPE	1
475	Russian Troops	ORG	5
476	Tax Returns	CONCEPT	8
479	Brian Kemp	PERSON	0
480	5 Star Movement	ORG	5
482	Silicon Valley	GPE	1
483	Economic growth	CONCEPT	8
485	Federal Trade Commission	ORG/GOV	6
488	Wsj Dollar Index	FIN_INSTRUMENT	4
489	Harvey Weinstein	PERSON	0
490	Andrew Yang	PERSON	0
491	traders	PERSON	0
492	British Government	ORG/GOV	6
494	inflation rate	ECON_INDICATOR	9
495	Virginia	GPE	1
496	Mahathir Mohamad	PERSON	0
497	Border security	CONCEPT	8
499	Senate Majority Leader Mitch McConnell	PERSON	0
500	Chicago	GPE	1
501	Justice Ruth Bader Ginsburg	PERSON	0
502	Pennsylvania	GPE	1
503	Tom Steyer	PERSON	0
504	Kudlow	PERSON	0
505	Puerto Rico	GPE	1
507	Sheryl Sandberg	PERSON	0
508	Zalmay Khalilzad	PERSON	0
509	National Rifle Association	ORG	5
510	migrants	PERSON	0
511	hospitals	ORG	5
512	Omicron	EVENT	3
514	Jen Psaki	PERSON	0
515	Bank Indonesia	ORG/GOV	6
516	Russian Government	ORG/GOV	6
517	Tech Stocks	FIN_INSTRUMENT	4
518	Kyiv	GPE	1
520	trade war	EVENT	3
522	Federal Reserve System	ORG/GOV	6
523	Illinois	GPE	1
524	Internal Revenue Service	ORG/GOV	6
525	Israeli Prime Minister Benjamin Netanyahu	PERSON	0
526	Naftali Bennett	PERSON	0
531	Communist Party	ORG	5
532	Retail sales	ECON_INDICATOR	9
533	Mary Daly	PERSON	0
534	Roman Abramovich	PERSON	0
535	U.S. Companies	ORG	5
537	Rex Tillerson	PERSON	0
538	Sen. John McCain	PERSON	0
540	Jho Low	PERSON	0
541	Federal Reserve Bank of St. Louis	ORG/REG	7
543	Cyril Ramaphosa	PERSON	0
545	Chuck Grassley	PERSON	0
546	FTC	ORG/GOV	6
547	Analysts	PERSON	0
548	Border Wall Funding	CONCEPT	8
549	Mohammed bin Salman	PERSON	0
551	Yuan	FIN_INSTRUMENT	4
553	Conference Board	ORG	5
555	women	PERSON	0
556	League	ORG	5
557	Department of Defense	ORG/GOV	6
558	Matthew Whitaker	PERSON	0
559	market	FIN_INSTRUMENT	4
560	National Association of Realtors	ORG	5
561	Cardinal George Pell	PERSON	0
562	Kyrsten Sinema	PERSON	0
564	Telecommunications	SECTOR	11
565	Information	CONCEPT	8
567	investment	CONCEPT	8
569	Covid-19 booster	PRODUCT	10
572	Meng Wanzhou	PERSON	0
573	U.S. Central Bank	ORG/GOV	6
575	Chile	GPE	1
576	Climate Change	CONCEPT	8
577	Peace Talks	EVENT	3
578	Stephanie Clifford	PERSON	0
579	Brenton Tarrant	PERSON	0
580	Small Business Administration	ORG/GOV	6
581	Wisconsin	GPE	1
582	Swiss Bank	ORG/GOV	6
583	Labor Market	CONCEPT	8
584	America	GPE	1
585	Ursula von der Leyen	PERSON	0
586	Jussie Smollett	PERSON	0
587	Subpoenas	CONCEPT	8
588	Nuclear Talks	EVENT	3
590	Public Investment Fund	ORG	5
591	San Francisco	GPE	1
593	Giuseppe Conte	PERSON	0
594	Crown Prince Mohammed	PERSON	0
595	Herman Cain	PERSON	0
597	Americans	PERSON	0
598	States	GPE	1
599	Jeremy Corbyn	PERSON	0
601	Aviation	SECTOR	11
602	Abortion Ban Law	CONCEPT	8
603	Najib Razak	PERSON	0
604	Thomas Barkin	PERSON	0
605	Reserve Bank of Australia	ORG/GOV	6
606	Delta Variant of Covid-19	EVENT	3
607	Automotive sector	SECTOR	11
608	Military spending	CONCEPT	8
609	Diplomacy	CONCEPT	8
610	Ghislaine Maxwell	PERSON	0
611	Italian Government	ORG/GOV	6
612	Private-Equity	SECTOR	11
613	Saudi Crown Prince Mohammed bin Salman	PERSON	0
614	Dara Khosrowshahi	PERSON	0
615	North Carolina	GPE	1
616	Merrick Garland	PERSON	0
617	Department of Health and Human Services	ORG/GOV	6
620	Sergei Lavrov	PERSON	0
621	Output	CONCEPT	8
624	Sanders	PERSON	0
625	UK Government	ORG/GOV	6
628	Louis DeJoy	PERSON	0
629	Mississippi	GPE	1
630	Queen Elizabeth II	PERSON	0
631	Chief Justice Roberts	PERSON	0
632	Immigration laws	CONCEPT	8
633	Relationship	CONCEPT	8
634	Financial Regulation	CONCEPT	8
635	Prince Andrew	PERSON	0
636	OPEC+	ORG	5
637	Gen. Khalifa Haftar	PERSON	0
638	Satya Nadella	PERSON	0
639	Stormy Daniels	PERSON	0
640	Hurricane Ida	EVENT	3
641	Susan Collins	PERSON	0
643	Kirsten Gillibrand	PERSON	0
644	Christine Blasey Ford	PERSON	0
645	Massachusetts	GPE	1
646	Aung San Suu Kyi	PERSON	0
647	Lev Parnas	PERSON	0
648	Labour Party	ORG	5
649	North Atlantic Treaty Organization	ORG/GOV	6
650	Elliott Broidy	PERSON	0
651	London	GPE	1
652	Liz Cheney	PERSON	0
653	Hurricane Dorian	EVENT	3
654	Sens. Bernie Sanders	PERSON	0
656	Sen. Elizabeth Warren	PERSON	0
657	Gina Haspel	PERSON	0
659	Startups	ORG	5
660	Lina Khan	PERSON	0
662	Alberto Fernández	PERSON	0
663	House Intelligence Committee	ORG/GOV	6
665	Austria	GPE	1
666	Chips	PRODUCT	10
668	Seattle	GPE	1
670	Initial public offering	EVENT	3
671	Global Oil Markets	SECTOR	11
672	Consumer Confidence	CONCEPT	8
674	Houthis	ORG	5
675	U.S. and China	GPE	1
676	Chinese Authorities	ORG/GOV	6
678	Hong Kong Government	ORG/GOV	6
679	Lawmakers	PERSON	0
680	Legislation	CONCEPT	8
681	Mortgage rates	ECON_INDICATOR	9
682	Senate Judiciary Committee	ORG/GOV	6
683	Hurricane Ian	EVENT	3
684	Press Conference	EVENT	3
685	Sanctions against Russia	CONCEPT	8
686	Endorsement	CONCEPT	8
687	Commodity Futures Trading Commission	ORG/REG	7
688	Kevin Hassett	PERSON	0
689	Ted Cruz	PERSON	0
690	Tax Cut	CONCEPT	8
691	Kazakhstan	GPE	1
692	US Economy	ECON_INDICATOR	9
693	People	PERSON	0
694	Nigeria	GPE	1
695	Jerrold Nadler	PERSON	0
697	Chinese Companies	ORG	5
698	Environmental Protection Agency	ORG/GOV	6
701	Coronavirus Vaccine Production	PRODUCT	10
702	Operations	CONCEPT	8
703	Human Rights	CONCEPT	8
704	Fiscal Policy	CONCEPT	8
705	Competition	CONCEPT	8
706	Kirstjen Nielsen	PERSON	0
707	Peter Thiel	PERSON	0
708	University of Michigan	ORG	5
710	U.S. Chamber of Commerce	ORG	5
711	Dow Industrials	FIN_INSTRUMENT	4
712	Ecuador	GPE	1
714	Javad Zarif	PERSON	0
715	China’s central bank	ORG/GOV	6
716	statement	CONCEPT	8
717	Aviation Industry	SECTOR	11
718	Natural-gas	PRODUCT	10
719	Transportation sector	SECTOR	11
720	Election Campaign	EVENT	3
721	Investment management	SECTOR	11
722	Mark Calabria	PERSON	0
724	Nasdaq Composite Index	FIN_INSTRUMENT	4
725	New York Stock Exchange	ORG	5
727	Andrew Wheeler	PERSON	0
728	Philip Lowe	PERSON	0
729	Scott Pruitt	PERSON	0
730	Corporations	ORG	5
731	Sen. Joe Manchin	PERSON	0
732	Federal Housing Finance Agency	ORG/GOV	6
733	Administration	ORG/GOV	6
735	House Republicans	ORG	5
736	Rishi Sunak	PERSON	0
739	Jens Stoltenberg	PERSON	0
741	Central Bank of Brazil	ORG/GOV	6
742	Minneapolis Police Department	ORG	5
743	investor confidence	CONCEPT	8
744	Democratic Nomination	EVENT	3
745	Budget	CONCEPT	8
746	David Malpass	PERSON	0
747	China Government	ORG/GOV	6
748	Mitt Romney	PERSON	0
749	Consumer Financial Protection Bureau	ORG/REG	7
750	Senate Republicans	ORG/GOV	6
751	Eric Adams	PERSON	0
752	Zimbabwe	GPE	1
753	Luiz Inácio Lula da Silva	PERSON	0
754	Stephen Moore	PERSON	0
755	Hunter Biden	PERSON	0
756	Jamie Dimon	PERSON	0
757	U.S. consumer	PERSON	0
759	Judy Shelton	PERSON	0
760	Kevin McAleenan	PERSON	0
761	Christian Sewing	PERSON	0
762	Election Results	EVENT	3
763	Trial	EVENT	3
764	Capital Markets	SECTOR	11
765	Alabama	GPE	1
766	NATO	ORG/GOV	6
767	Stacey Abrams	PERSON	0
768	Stephen Biegun	PERSON	0
769	Obama administration	ORG/GOV	6
770	U.S. Senate	ORG/GOV	6
771	Ireland	GPE	1
772	West	GPE	1
773	Richard Neal	PERSON	0
774	Deval Patrick	PERSON	0
775	Vatican	GPE	1
776	Vermont	GPE	1
777	Presidential election	EVENT	3
778	Carl Icahn	PERSON	0
779	Death Penalty	CONCEPT	8
780	Resignation	EVENT	3
781	Population	CONCEPT	8
782	New York Mercantile Exchange	ORG	5
783	Sudan	GPE	1
784	Jean-Claude Juncker	PERSON	0
786	Colombia	GPE	1
788	Larry Nassar	PERSON	0
789	Latin America	GPE	1
790	markets	FIN_INSTRUMENT	4
791	War in Ukraine	EVENT	3
792	Christopher Waller	PERSON	0
794	National Weather Service	ORG/GOV	6
795	Raphael Warnock	PERSON	0
796	Bill	CONCEPT	8
797	2020 Presidential Election	EVENT	3
798	Pharmaceutical sector	SECTOR	11
799	Financial industry	SECTOR	11
800	Allen Weisselberg	PERSON	0
801	Nevada	GPE	1
802	U.S. Treasury Secretary Steven Mnuchin	PERSON	0
803	Jimmy Lai	PERSON	0
805	Tidjane Thiam	PERSON	0
806	Jes Staley	PERSON	0
809	Russian military	ORG	5
816	Saudi Crown Prince	PERSON	0
817	U.S. Treasury note	FIN_INSTRUMENT	4
818	John Kelly	PERSON	0
819	Armenia	GPE	1
821	Debt Auctions	EVENT	3
822	Bond Purchases	FIN_INSTRUMENT	4
823	Financial stability	CONCEPT	8
824	Securities Markets	SECTOR	11
826	Japanese Yen	FIN_INSTRUMENT	4
828	BOJ	ORG/GOV	6
829	Hurricane Florence	EVENT	3
830	Sarah Sanders	PERSON	0
831	Jacob Zuma	PERSON	0
832	Joseph Otting	PERSON	0
833	Gary Cohn	PERSON	0
834	Pat Shanahan	PERSON	0
835	Oil Producers	ORG	5
836	Liu He	PERSON	0
837	European banks	ORG	5
838	Gotabaya Rajapaksa	PERSON	0
839	U.S. Supreme Court	ORG/GOV	6
840	National Guard	ORG/GOV	6
841	Losses	CONCEPT	8
842	Inflation control	CONCEPT	8
843	2016 presidential election	EVENT	3
845	Gordon Sondland	PERSON	0
846	French government	ORG/GOV	6
847	Global growth	CONCEPT	8
848	Alexis Tsipras	PERSON	0
849	Netherlands	GPE	1
851	Khalid al-Falih	PERSON	0
852	Thailand	GPE	1
853	Government bonds	FIN_INSTRUMENT	4
855	El Salvador	GPE	1
856	Investment Bank	SECTOR	11
857	Treasury securities	FIN_INSTRUMENT	4
858	Assets	CONCEPT	8
859	Oleg Deripaska	PERSON	0
863	Azerbaijan	GPE	1
864	Lloyd Austin	PERSON	0
865	Small Businesses	ORG	5
866	Voters	PERSON	0
867	U.S. Treasury Yield	FIN_INSTRUMENT	4
868	Mass Shootings	EVENT	3
869	Bahamas	GPE	1
870	Pandemic Response	EVENT	3
871	Denuclearization	CONCEPT	8
872	Gaming industry	SECTOR	11
873	Price	ECON_INDICATOR	9
874	Consumer sentiment	CONCEPT	8
875	Inflation Predictions	ECON_INDICATOR	9
876	economic recovery	CONCEPT	8
877	Paycheck Protection Program	PRODUCT	10
879	coronavirus cases	EVENT	3
880	Shares Value	FIN_INSTRUMENT	4
881	U.S. Central Command	ORG/GOV	6
882	Bill Clinton	PERSON	0
883	Retailers	ORG	5
884	Glenn Youngkin	PERSON	0
885	Bank of Korea	ORG/GOV	6
886	Alexandria Ocasio-Cortez	PERSON	0
888	Daniel Ortega	PERSON	0
889	Palladium	PRODUCT	10
890	Federal Reserve Bank of Philadelphia	ORG/REG	7
891	Julián Castro	PERSON	0
892	Federal Reserve Bank of Chicago	ORG/GOV	6
893	Governor Gavin Newsom	PERSON	0
894	Federal Reserve Bank of San Francisco	ORG/REG	7
895	European countries	GPE	1
896	Charles Rettig	PERSON	0
898	Stephen Stanley	PERSON	0
900	Ohio	GPE	1
901	Congressional Budget Office	ORG/GOV	6
902	McConnell	PERSON	0
903	U.S. Currency	FIN_INSTRUMENT	4
904	Don McGahn	PERSON	0
905	U.S. banks	ORG	5
906	Trade	CONCEPT	8
907	London Metal Exchange	ORG	5
908	Evo Morales	PERSON	0
909	Andy Beshear	PERSON	0
910	Nikki Haley	PERSON	0
912	Federal Reserve Bank of Richmond	ORG/REG	7
913	Opinion	CONCEPT	8
914	Social media platform	SECTOR	11
915	Exchange-Traded Fund	FIN_INSTRUMENT	4
916	Safety	CONCEPT	8
917	General Election	EVENT	3
918	Eastern Ukraine	GPE	1
919	Digital Advertising	SECTOR	11
920	Paul Whelan	PERSON	0
921	Fed Officials	PERSON	0
922	Federal Reserve Bank of Cleveland	ORG/GOV	6
924	U.S. Employers	ORG	5
925	Mask mandate	CONCEPT	8
926	death toll	CONCEPT	8
927	Government Debt	FIN_INSTRUMENT	4
928	Financial Services Sector	SECTOR	11
929	Primary Election	EVENT	3
930	Property Market	SECTOR	11
931	Oregon	GPE	1
932	Hurricane Michael	EVENT	3
933	Ajit Pai	PERSON	0
934	Kentucky	GPE	1
936	Queen Elizabeth	PERSON	0
938	National Bureau of Statistics	ORG/GOV	6
939	Senate Democrats	ORG/GOV	6
940	Farmers	PERSON	0
941	Robert Wilkie	PERSON	0
942	Xavier Becerra	PERSON	0
943	Norway	GPE	1
944	Marine Le Pen	PERSON	0
945	Justice Samuel Alito	PERSON	0
946	Justice Stephen Breyer	PERSON	0
947	Crude	PRODUCT	10
948	West Texas Intermediate	PRODUCT	10
949	Asia	GPE	1
950	Paris	GPE	1
951	bonds	FIN_INSTRUMENT	4
952	bankruptcy	CONCEPT	8
953	Data Privacy	CONCEPT	8
954	Vote	CONCEPT	8
955	Drones	PRODUCT	10
956	iPhones	PRODUCT	10
957	Corporate Governance	CONCEPT	8
958	Houston	GPE	1
959	Minnesota	GPE	1
960	Igor Fruman	PERSON	0
961	North American Free Trade Agreement	CONCEPT	8
964	Federal Reserve officials	PERSON	0
965	Peru	GPE	1
966	Rochelle Walensky	PERSON	0
967	Houthi rebels	ORG	5
968	Yair Lapid	PERSON	0
969	Winter Storm	EVENT	3
970	U.S. officials	ORG/GOV	6
972	New Hampshire	GPE	1
973	Ryan Cohen	PERSON	0
974	Brittney Griner	PERSON	0
975	recession	EVENT	3
976	Phil Murphy	PERSON	0
977	Brent	PRODUCT	10
978	Fortnite	PRODUCT	10
979	U.K. Prime Minister Boris Johnson	PERSON	0
980	SARS-CoV-2	EVENT	3
982	World Bank	ORG	5
983	Census Bureau	ORG/GOV	6
984	Martin Shkreli	PERSON	0
985	Sarah Bloom Raskin	PERSON	0
986	Pat Cipollone	PERSON	0
987	Justice and Development Party	ORG	5
988	Alex Jones	PERSON	0
989	Kathy Kraninger	PERSON	0
991	Camp Fire	EVENT	3
992	Federal Reserve Bank of Atlanta	ORG/GOV	6
